Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,Exponential Moving Average (3) 1 day,Exponential Moving Average (7) 1 day
NVDA,NVIDIA Corporation,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",2753686392400.056,USD,112.856,USD,111.7,USD,0.58,USD,0.52455458,1.02197703,23427952800,59932755,1474997180,7121655,315258926.4000017,303821424.0000006,241685391.92222103,2.62801409,5.79095159,4.95620152,112.35533333,38.39292397,0.84930229,0.18047283,2.930246,2.3858206,1.7641541,0.33042878,0.11864606,0.71649342,0.40954558,1.45689115,0.81638311,0.32733735,1.27172154,0.23488955,143.44,USD,153.13,USD,153.13,USD,153.13,USD,153.13,USD,112.875,USD,112.98,USD,112.98,USD,113.48,USD,113.48,USD,113.48,USD,113.48,USD,123.7,USD,123.7,USD,3624916.66666667,USD,112.71828,112.625725,112.71234,111.96693077,113.33933283,112.680845,112.02235717,113.33146447,111.68935,110.04723553,,0.18047283,2025-02-26,2025-05-28,Strong buy,175.111698,USD,Buy,113.45831747,117.12230807
AVGO,Broadcom Inc.,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",880432270135.4656,USD,187.2491,USD,203.16,USD,8.06,USD,4.49150181,13.21259404,4607491735.95,20029126,177883845,2462661,33271947,30536992.96666667,29847802.83333333,7.39723075,6.20945886,4.70415681,188.6797,153.59617751,3.45425686,0.59332567,3.1599004,1.0307275,1.030044,0.36899756,0.12332163,0.75487755,0.56700622,3.6611719,2.51465072,1.1790802,1.41139713,0.27988828,237.89,USD,251.88,USD,251.88,USD,251.88,USD,251.88,USD,187.7,USD,189.49,USD,189.49,USD,193.18,USD,193.18,USD,193.18,USD,193.18,USD,204.06,USD,204.06,USD,1393891.89189189,USD,187.968,188.297375,188.8998,186.50606923,192.47200329,189.2545,186.03699671,193.19650638,184.752695,176.30888362,,0.59332567,2025-03-06,2025-06-12,Buy,253.235294,USD,Buy,186.31749221,191.48858914
XOM,Exxon Mobil Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, S&P 500 Energy, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",477153933168.4207,USD,109.965,USD,107.74,USD,1.22,USD,1.13361829,0.11150344,4331190695.520001,3156781,83231043,44418,15543135.5,15038975.23333333,15349756.94444445,2.20683287,3.17799492,2.24659922,109.39,14.00738806,1.73599526,0.18835439,0.26820362,0.6629052,0.80197763,0.24176823,0.28086775,0.73748068,0.54445326,1.68048586,0.91548189,0.48891577,1.28474074,0.26193921,112.51,USD,114.94,USD,126.34,USD,126.34,USD,126.34,USD,110.01,USD,110.01,USD,110.01,USD,110.01,USD,110.01,USD,110.01,USD,110.01,USD,112.1563,USD,112.1563,USD,5572262.29508197,USD,109.844,109.83,109.79436,109.01169231,109.9553348,109.71111,109.4668852,110.54308021,108.514575,106.48606979,,0.18835439,2025-01-31,2025-04-25,Buy,128.615385,USD,Strong buy,108.56258063,108.53854865
NVO,Novo Nordisk A/S,Pharmaceuticals: major,Health technology,NYSE,,392276081005.9221,USD,86.74,USD,87.88,USD,0.43,USD,0.48841436,-0.18173557,3364004547.309,1150467,24627560,67755,6687379.5,8626411.26666667,7898645.74444445,2.34627832,2.11350363,2.37315471,87.27,26.42417596,0.70165543,0.14229268,0.63233906,0.41917798,0.42479113,0.30359936,0.33148977,1.40287517,0.95590019,1.46816284,0.83006976,0.41302918,0.61009152,0.21037163,93.8,USD,112.52,USD,138.2215,USD,148.15,USD,148.15,USD,86.8,USD,87.31,USD,87.31,USD,88.55,USD,88.55,USD,88.55,USD,88.55,USD,91.9,USD,91.9,USD,551951.47391779,USD,86.778,86.78375,86.974,87.56692308,87.56636436,87.01098,86.45559564,88.69829233,87.738685,86.77907767,,0.14229268,2025-02-05,2025-05-07,Buy,117.380542,USD,Sell,87.81191304,88.30565895
ABBV,AbbVie Inc.,Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",371139378654.926,USD,210.235,USD,210.8,USD,0.42,USD,0.19928826,0.02372479,1762497194.3999999,814302,25483849,2382,6313640.3,5881037.73333333,6365503.47777778,1.13636364,2.2546883,2.01602592,210.20333333,87.90558622,0.92599103,0.11937906,0.03711736,0.27547377,0.59798324,0.09990446,0.05925613,0.87258597,0.63165587,1.5797818,0.80202507,0.31851256,0.98718682,0.21818775,215.66,USD,215.66,USD,215.66,USD,215.66,USD,215.66,USD,210.4646,USD,210.52,USD,210.52,USD,211.375,USD,211.375,USD,211.375,USD,211.375,USD,215.66,USD,215.66,USD,1024254.54545455,USD,210.232,210.2643375,210.192,210.30884615,210.45034751,210.126235,209.80212249,210.95825664,210.27547,209.59268336,,0.11937906,2025-01-31,2025-04-25,Buy,214.391304,USD,Strong sell,210.29563091,208.8070668
BABA,Alibaba Group Holding Limited,Internet retail,Retail trade,NYSE,"NASDAQ Golden Dragon China, NASDAQ CB Insights Metaverse US Index",344251238397.6905,USD,144.45,USD,143,USD,2.98,USD,2.1293319,2.17934977,2391207589.54418,9506456,130167749,867966,33255409.3,39776045.13333334,22544765.95555556,3.8257549,4.54552818,4.17356225,143.74,20.87035672,0.71071961,0.23949366,0.8853839,0.22919942,0.27137056,1.17019908,0.29647391,1.02666713,0.71818125,1.96049749,1.13344763,0.62127263,1.00411888,0.31773153,145.36,USD,145.36,USD,145.36,USD,145.36,USD,319.32,USD,144.64,USD,144.64,USD,144.64,USD,145.36,USD,145.36,USD,145.36,USD,145.36,USD,145.36,USD,145.36,USD,640550.89472639,USD,144.061,144.02985,144.00176,142.50175385,144.47234917,143.80302,143.13369083,145.81324416,141.32589,136.83853584,,0.23949366,2025-02-20,2025-05-14,Strong buy,162.81772036,USD,Strong buy,141.24684514,137.83419042
ASML,ASML Holding N.V. - New York Registry Shares,Semiconductors,Electronic technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, NASDAQ-100 Technology Sector, NASDAQ Computer",280103471299.9328,USD,729.775,USD,728,USD,11.66,USD,1.63113424,1.84097141,392950523.144256,280722,7791776,5201,1647179.9,1837458.06666667,1735437.97777778,2.44241676,3.46170155,2.75039692,727.6392,35.10981213,0.64584575,0.1589287,1.8091722,1.9079913,1.5375018,0.92825161,0.0585206,0.40256334,0.27428687,1.33049067,0.72370942,0.25587692,1.0325443,0.23394817,778.355,USD,784.82,USD,873.6535,USD,1110.09,USD,1110.09,USD,729.775,USD,732.4425,USD,732.4425,USD,732.4425,USD,732.4425,USD,732.4425,USD,732.4425,USD,740.55,USD,740.55,USD,694385.66508911,USD,730.1275,730.625625,730.1695,724.05026923,731.99209467,730.0976,728.20310533,734.29885815,721.495175,708.69149185,,0.1589287,2025-01-29,2025-04-16,Buy,912.844125,USD,Buy,724.5173156,722.62757117
CVX,Chevron Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Energy, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",275410419540.1331,USD,156.43,USD,153.48,USD,0.79,USD,0.51650866,0.34651847,1759791884.6,1412392,35901775,14285,7098902.4,7049763.46666667,7892499.26666667,2.44616486,3.04216772,2.06511934,155.61666667,16.12879944,1.50896186,0.18519179,0.4360222,0.9327714,1.0622154,0.28065239,0.07429239,0.83941359,0.59413327,1.8692401,0.98591696,0.46024802,1.12389973,0.23166678,160.09,USD,161.77,USD,164.68,USD,167.11,USD,189.68,USD,156.61,USD,156.71,USD,156.71,USD,156.71,USD,156.71,USD,156.71,USD,156.71,USD,160.09,USD,160.09,USD,4271071.57048876,USD,156.51082,156.4592625,156.2655,155.05480769,156.67703434,156.18243,155.68782566,157.77059703,154.122605,150.47461297,,0.18519179,2025-01-31,2025-04-25,Buy,176.363636,USD,Buy,154.50954917,154.39209718
TM,Toyota Motor Corporation,Motor vehicles,Consumer durables,NYSE,,249389521480.17743,USD,189.38,USD,189.36,USD,1.67,USD,0.89061917,0.98661405,1308032226.23032,56645,2118553,300,351102.7,346759.33333333,382164.61111111,1.58056048,2.020061,1.43876073,189.68446667,7.50891133,0.79368559,0.138377,0.8534612,0.8916474,0.65577936,0.44052863,0.05798334,0.79222704,0.48906987,0.90235677,0.48055383,0.23997417,1.17897231,0.28724348,192.92,USD,200.9999,USD,200.9999,USD,255.23,USD,255.23,USD,189.47,USD,189.82,USD,189.82,USD,190.5,USD,190.5,USD,190.5,USD,190.5,USD,192.92,USD,192.92,USD,818968.78715583,USD,189.51,189.5005625,189.7496,189.14561538,190.35829289,189.764875,189.17145711,190.87680089,188.67403,186.47125911,,0.138377,2025-02-04,2025-05-07,Buy,220.241482,USD,Buy,188.31151836,186.09432608
AZN,AstraZeneca PLC,Pharmaceuticals: major,Health technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, NASDAQ Biotechnology",240183752519.271,USD,77.835,USD,77.34,USD,0.32,USD,0.41306312,-0.16780689,3100562541.36,981392,23215033,57909,6597053.4,5761454.83333333,6093634.9,0.65789474,1.0168151,1.41978606,77.77833333,34.53807242,1.06293032,0.14305151,0.12469865,0.3739212,0.41848367,0.43600987,0.08028018,0.62976973,0.48269851,1.50005033,0.78999242,0.33122901,0.94959517,0.22424695,78.355,USD,78.355,USD,83.43,USD,87.675,USD,87.675,USD,77.85,USD,77.93,USD,77.93,USD,77.98,USD,77.98,USD,77.98,USD,77.98,USD,78.355,USD,78.355,USD,573414.63414634,USD,77.823,77.83625,77.829,77.78307692,77.92173182,77.8375,77.75326818,77.95598826,77.743,77.53001174,,0.14305151,2025-02-06,2025-04-29,Strong buy,87.447101,USD,Buy,77.60577281,76.97409225
